,Number,Player,2GS_prices,Website
63,64,Charlie Curnow,1.07,Sportsbet
129,130,Josh Treacy,1.22,Sportsbet
179,180,Ben King,1.24,Sportsbet
197,198,Jesse Hogan,1.24,Sportsbet
288,289,Mitch Georgiades,1.38,Sportsbet
265,266,Nick Larkey,1.4,Sportsbet
417,418,Sam Darcy,1.42,Sportsbet
3,4,Riley Thilthorpe,1.49,Sportsbet
16,17,Darcy Fogarty,1.53,Sportsbet
139,140,Jeremy Cameron,1.55,Sportsbet
324,325,Jack Higgins,1.62,Sportsbet
307,308,Tom Lynch,1.65,Sportsbet
369,370,Joel Amartey,1.7,Sportsbet
35,36,Charlie Cameron,1.72,Sportsbet
125,126,Jye Amiss,1.73,Sportsbet
214,215,Dylan Moore,1.73,Sportsbet
122,123,Shai Bolton,1.74,Sportsbet
375,376,Jake Waterman,1.74,Sportsbet
5,6,Taylor Walker,1.76,Sportsbet
218,219,Mabior Chol,1.76,Sportsbet
184,185,Toby Greene,1.77,Sportsbet
88,89,Brody Mihocek,1.83,Sportsbet
36,37,Eric Hipwood,1.85,Sportsbet
58,59,Brodie Kemp,1.85,Sportsbet
82,83,Tim Membrey,1.87,Sportsbet
429,430,Aaron Naughton,1.88,Sportsbet
219,220,Jack Gunston,1.9,Sportsbet
228,229,Nick Watson,1.93,Sportsbet
108,109,Nate Caddy,1.94,Sportsbet
267,268,Paul Curtis,1.98,Sportsbet
171,172,Ben Long,1.99,Sportsbet
31,32,Logan Morris,2.02,Sportsbet
80,81,Bobby Hill,2.02,Sportsbet
98,99,Isaac Kako,2.03,Sportsbet
75,76,Daniel McStay,2.05,Sportsbet
247,248,Bayley Fritsch,2.08,Sportsbet
162,163,Jed Walter,2.1,Sportsbet
93,94,Sam Draper,2.12,Sportsbet
233,234,Christian Petracca,2.12,Sportsbet
72,73,Jamie Elliott,2.15,Sportsbet
128,129,Michael Frederick,2.15,Sportsbet
294,295,Ollie Lord,2.15,Sportsbet
64,65,Lewis Young,2.2,Sportsbet
250,251,Kysaiah Pickett,2.2,Sportsbet
382,383,Oscar Allen,2.2,Sportsbet
24,25,Callum Ah Chee,2.25,Sportsbet
48,49,Jesse Motlop,2.25,Sportsbet
151,152,Patrick Dangerfield,2.25,Sportsbet
227,228,Jack Ginnivan,2.25,Sportsbet
231,232,Jacob van Rooyen,2.25,Sportsbet
146,147,Tyson Stengle,2.3,Sportsbet
352,353,Hayden McLean,2.3,Sportsbet
356,357,Will Hayward,2.3,Sportsbet
39,40,Zac Bailey,2.35,Sportsbet
274,275,Cameron Zurhaar,2.35,Sportsbet
0,1,Ben Keays,2.4,Sportsbet
9,10,Izak Rankine,2.4,Sportsbet
285,286,Willie Rioli,2.4,Sportsbet
134,135,Patrick Voss,2.45,Sportsbet
195,196,Jake Stringer,2.45,Sportsbet
215,216,Blake Hardwick,2.45,Sportsbet
332,333,Mitch Owens,2.45,Sportsbet
322,323,Seth Campbell,2.5,Sportsbet
99,100,Jade Gresham,2.6,Sportsbet
152,153,Oliver Henry,2.6,Sportsbet
287,288,Jason Horne-Francis,2.6,Sportsbet
51,52,Zac Williams,2.65,Sportsbet
34,35,Cameron Rayner,2.7,Sportsbet
170,171,Ethan Read,2.7,Sportsbet
351,352,Chad Warner,2.7,Sportsbet
150,151,Shannon Neale,2.75,Sportsbet
237,238,Daniel Turner,2.75,Sportsbet
185,186,Aaron Cadman,2.8,Sportsbet
101,102,Archie Perkins,2.85,Sportsbet
360,361,Braeden Campbell,2.85,Sportsbet
269,270,Jack Darling,2.95,Sportsbet
308,309,Sam Lalor,2.95,Sportsbet
341,342,Mason Wood,3.05,Sportsbet
344,345,Cooper Sharman,3.05,Sportsbet
123,124,Murphy Reid,3.1,Sportsbet
277,278,Sam Powell-Pepper,3.1,Sportsbet
163,164,Ben Ainsworth,3.15,Sportsbet
354,355,Isaac Heeney,3.15,Sportsbet
113,114,Jye Menzie,3.2,Sportsbet
111,112,Nic Martin,3.25,Sportsbet
198,199,Jake Riccardi,3.3,Sportsbet
323,324,Jacob Blight,3.35,Sportsbet
314,315,Harry Armstrong,3.4,Sportsbet
136,137,Isaiah Dudley,3.45,Sportsbet
164,165,Touk Miller,3.5,Sportsbet
374,375,Liam Ryan,3.5,Sportsbet
419,420,Rhylee West,3.5,Sportsbet
435,436,Lachlan McNeil,3.5,Sportsbet
169,170,Bailey Humphrey,3.6,Sportsbet
176,177,Jake Rogers,3.6,Sportsbet
242,243,Jake Melksham,3.6,Sportsbet
251,252,Kade Chandler,3.6,Sportsbet
