,Player,Team,matchup
1,Mitchell Hinge  ,Adelaide,Adelaide vs Geelong
2,Josh Worrell  ,Adelaide,Adelaide vs Geelong
3,Rory Laird  ,Adelaide,Adelaide vs Geelong
4,Wayne Milera  ,Adelaide,Adelaide vs Geelong
5,Mark Keane  ,Adelaide,Adelaide vs Geelong
6,Max Michalanney  ,Adelaide,Adelaide vs Geelong
7,Isaac Cumming  ,Adelaide,Adelaide vs Geelong
8,Jordan Dawson  ,Adelaide,Adelaide vs Geelong
9,Lachlan Sholl  ,Adelaide,Adelaide vs Geelong
10,Ben Keays  ,Adelaide,Adelaide vs Geelong
11,Riley Thilthorpe  ,Adelaide,Adelaide vs Geelong
12,Izak Rankine  ,Adelaide,Adelaide vs Geelong
13,Darcy Fogarty  ,Adelaide,Adelaide vs Geelong
14,Taylor Walker  ,Adelaide,Adelaide vs Geelong
15,Alex Neal-Bullen  ,Adelaide,Adelaide vs Geelong
16,Reilly O'Brien  ,Adelaide,Adelaide vs Geelong
17,Jake Soligo  ,Adelaide,Adelaide vs Geelong
18,James Peatling  ,Adelaide,Adelaide vs Geelong
19,Daniel Curtin  ,Adelaide,Adelaide vs Geelong
20,Sid Draper  ,Adelaide,Adelaide vs Geelong
21,Luke Nankervis  ,Adelaide,Adelaide vs Geelong
22,Matt Crouch,Adelaide,Adelaide vs Geelong
23,Connor O'Sullivan  ,Geelong,Adelaide vs Geelong
24,Sam De Koning  ,Geelong,Adelaide vs Geelong
25,Mark Blicavs  ,Geelong,Adelaide vs Geelong
26,Lawson Humphries  ,Geelong,Adelaide vs Geelong
27,Max Holmes  ,Geelong,Adelaide vs Geelong
28,Zach Guthrie  ,Geelong,Adelaide vs Geelong
29,Oliver Henry  ,Geelong,Adelaide vs Geelong
30,Patrick Dangerfield  ,Geelong,Adelaide vs Geelong
31,Oliver Dempsey  ,Geelong,Adelaide vs Geelong
32,Brad Close  ,Geelong,Adelaide vs Geelong
33,Mitch Knevitt  ,Geelong,Adelaide vs Geelong
34,Shaun Mannagh  ,Geelong,Adelaide vs Geelong
35,Shannon Neale  ,Geelong,Adelaide vs Geelong
36,Jeremy Cameron  ,Geelong,Adelaide vs Geelong
37,Tyson Stengle  ,Geelong,Adelaide vs Geelong
38,Rhys Stanley  ,Geelong,Adelaide vs Geelong
39,Bailey Smith  ,Geelong,Adelaide vs Geelong
40,Tom Atkins  ,Geelong,Adelaide vs Geelong
41,Oisin Mullin  ,Geelong,Adelaide vs Geelong
42,Gryan Miers  ,Geelong,Adelaide vs Geelong
43,Jack Bowes  ,Geelong,Adelaide vs Geelong
44,Mark O'Connor,Geelong,Adelaide vs Geelong
45,Brayden Maynard  ,Collingwood,Collingwood vs Sydney
46,Billy Frampton  ,Collingwood,Collingwood vs Sydney
47,Jeremy Howe  ,Collingwood,Collingwood vs Sydney
48,Josh Daicos  ,Collingwood,Collingwood vs Sydney
49,Darcy Moore  ,Collingwood,Collingwood vs Sydney
50,Harry Perryman  ,Collingwood,Collingwood vs Sydney
51,Patrick Lipinski  ,Collingwood,Collingwood vs Sydney
52,Steele Sidebottom  ,Collingwood,Collingwood vs Sydney
53,Jack Crisp  ,Collingwood,Collingwood vs Sydney
54,Bobby Hill  ,Collingwood,Collingwood vs Sydney
55,Brody Mihocek  ,Collingwood,Collingwood vs Sydney
56,Lachlan Sullivan  ,Collingwood,Collingwood vs Sydney
57,Beau McCreery  ,Collingwood,Collingwood vs Sydney
58,Daniel McStay  ,Collingwood,Collingwood vs Sydney
59,Tim Membrey  ,Collingwood,Collingwood vs Sydney
60,Darcy Cameron  ,Collingwood,Collingwood vs Sydney
61,Ned Long  ,Collingwood,Collingwood vs Sydney
62,Nick Daicos  ,Collingwood,Collingwood vs Sydney
63,Isaac Quaynor  ,Collingwood,Collingwood vs Sydney
