,Number,Player,AGS_prices,Website
133,134,Josh Treacy,1.03,Sportsbet
184,185,Ben King,1.03,Sportsbet
202,203,Jesse Hogan,1.03,Sportsbet
293,294,Mitch Georgiades,1.05,Sportsbet
270,271,Nick Larkey,1.06,Sportsbet
423,424,Sam Darcy,1.06,Sportsbet
4,5,Riley Thilthorpe,1.08,Sportsbet
17,18,Darcy Fogarty,1.08,Sportsbet
144,145,Jeremy Cameron,1.08,Sportsbet
312,313,Tom Lynch,1.1,Sportsbet
329,330,Jack Higgins,1.1,Sportsbet
375,376,Joel Amartey,1.11,Sportsbet
36,37,Charlie Cameron,1.12,Sportsbet
125,126,Shai Bolton,1.12,Sportsbet
128,129,Jye Amiss,1.12,Sportsbet
223,224,Mabior Chol,1.12,Sportsbet
381,382,Jake Waterman,1.12,Sportsbet
6,7,Taylor Walker,1.13,Sportsbet
189,190,Toby Greene,1.13,Sportsbet
219,220,Dylan Moore,1.13,Sportsbet
37,38,Eric Hipwood,1.15,Sportsbet
59,60,Brodie Kemp,1.15,Sportsbet
90,91,Brody Mihocek,1.15,Sportsbet
435,436,Aaron Naughton,1.15,Sportsbet
84,85,Tim Membrey,1.16,Sportsbet
111,112,Nate Caddy,1.16,Sportsbet
224,225,Jack Gunston,1.16,Sportsbet
176,177,Ben Long,1.17,Sportsbet
233,234,Nick Watson,1.17,Sportsbet
272,273,Paul Curtis,1.17,Sportsbet
82,83,Bobby Hill,1.18,Sportsbet
32,33,Logan Morris,1.19,Sportsbet
76,77,Daniel McStay,1.19,Sportsbet
101,102,Isaac Kako,1.19,Sportsbet
252,253,Bayley Fritsch,1.19,Sportsbet
167,168,Jed Walter,1.2,Sportsbet
238,239,Christian Petracca,1.2,Sportsbet
95,96,Sam Draper,1.21,Sportsbet
132,133,Michael Frederick,1.21,Sportsbet
255,256,Kysaiah Pickett,1.21,Sportsbet
299,300,Ollie Lord,1.21,Sportsbet
73,74,Jamie Elliott,1.22,Sportsbet
25,26,Callum Ah Chee,1.23,Sportsbet
388,389,Oscar Allen,1.23,Sportsbet
65,66,Lewis Young,1.24,Sportsbet
236,237,Jacob van Rooyen,1.24,Sportsbet
362,363,Will Hayward,1.24,Sportsbet
49,50,Jesse Motlop,1.25,Sportsbet
358,359,Hayden McLean,1.26,Sportsbet
0,1,Ben Keays,1.27,Sportsbet
40,41,Zac Bailey,1.27,Sportsbet
10,11,Izak Rankine,1.28,Sportsbet
139,140,Patrick Voss,1.28,Sportsbet
200,201,Jake Stringer,1.28,Sportsbet
220,221,Blake Hardwick,1.28,Sportsbet
290,291,Willie Rioli,1.28,Sportsbet
151,152,Tyson Stengle,1.29,Sportsbet
156,157,Patrick Dangerfield,1.29,Sportsbet
232,233,Jack Ginnivan,1.29,Sportsbet
279,280,Cameron Zurhaar,1.29,Sportsbet
338,339,Mitch Owens,1.29,Sportsbet
292,293,Jason Horne-Francis,1.3,Sportsbet
327,328,Seth Campbell,1.3,Sportsbet
102,103,Jade Gresham,1.31,Sportsbet
52,53,Zac Williams,1.32,Sportsbet
157,158,Oliver Henry,1.32,Sportsbet
175,176,Ethan Read,1.33,Sportsbet
35,36,Cameron Rayner,1.34,Sportsbet
242,243,Daniel Turner,1.34,Sportsbet
357,358,Chad Warner,1.34,Sportsbet
155,156,Shannon Neale,1.35,Sportsbet
190,191,Aaron Cadman,1.35,Sportsbet
274,275,Jack Darling,1.37,Sportsbet
104,105,Archie Perkins,1.38,Sportsbet
313,314,Sam Lalor,1.38,Sportsbet
366,367,Braeden Campbell,1.38,Sportsbet
350,351,Cooper Sharman,1.39,Sportsbet
347,348,Mason Wood,1.41,Sportsbet
360,361,Isaac Heeney,1.41,Sportsbet
168,169,Ben Ainsworth,1.43,Sportsbet
282,283,Sam Powell-Pepper,1.43,Sportsbet
114,115,Nic Martin,1.44,Sportsbet
126,127,Murphy Reid,1.44,Sportsbet
116,117,Jye Menzie,1.45,Sportsbet
203,204,Jake Riccardi,1.45,Sportsbet
328,329,Jacob Blight,1.46,Sportsbet
319,320,Harry Armstrong,1.48,Sportsbet
141,142,Isaiah Dudley,1.5,Sportsbet
425,426,Rhylee West,1.5,Sportsbet
441,442,Lachlan McNeil,1.5,Sportsbet
145,146,Shaun Mannagh,1.51,Sportsbet
174,175,Bailey Humphrey,1.51,Sportsbet
181,182,Jake Rogers,1.51,Sportsbet
380,381,Liam Ryan,1.51,Sportsbet
169,170,Touk Miller,1.52,Sportsbet
247,248,Jake Melksham,1.52,Sportsbet
