,Number,Player,Prices_TwoPlusTry,Website
0,1,Hamiso Tabuai-Fidow,6,Sportsbet
1,2,Jamayne Isaako,5.9,Sportsbet
2,3,Jake Averillo,15,Sportsbet
3,4,Herbie Farnworth,12,Sportsbet
4,5,Jack Bostock,5.4,Sportsbet
5,6,Kodi Nikorima,51,Sportsbet
6,7,Isaiya Katoa,67,Sportsbet
7,8,Daniel Saifiti,101,Sportsbet
8,9,Jeremy Marshall-King,34,Sportsbet
9,10,Felise Kaufusi,101,Sportsbet
10,11,Kulikefu Finefeuiaki,41,Sportsbet
11,12,Tom Gilbert,31,Sportsbet
12,13,Max Plath,51,Sportsbet
13,14,Kurt Donoghoe,101,Sportsbet
14,15,Mark Nicholls,51,Sportsbet
15,16,Connelly Lemuelu,34,Sportsbet
16,17,Josh Kerr,101,Sportsbet
17,1,Dylan Edwards,7,Sportsbet
18,2,Paul Alamoti,3.45,Sportsbet
19,3,Izack Tago,8,Sportsbet
20,4,Thomas Jenkins,4.9,Sportsbet
21,5,Casey McLean,4.5,Sportsbet
22,6,Blaize Talagi,13,Sportsbet
23,7,Nathan Cleary,15,Sportsbet
24,8,Moses Leota,91,Sportsbet
25,9,Luke Sommerton,67,Sportsbet
26,10,Lindsay Smith,101,Sportsbet
27,11,Scott Sorensen,21,Sportsbet
28,12,Liam Martin,16,Sportsbet
29,13,Isaah Yeo,67,Sportsbet
30,14,Brad Schneider,46,Sportsbet
31,15,Isaiah Papali'i,34,Sportsbet
32,16,Liam Henry,101,Sportsbet
33,17,Luke Garner,21,Sportsbet
34,1,Clinton Gutherson,4.9,Sportsbet
35,2,Tyrell Sloan,4.5,Sportsbet
36,3,Moses Suli,11,Sportsbet
37,4,Valentine Holmes,7,Sportsbet
38,5,Christian Tuipulotu,3.45,Sportsbet
39,6,Kyle Flanagan,16,Sportsbet
40,7,Lachlan Ilias,31,Sportsbet
41,8,Toby Couchman,91,Sportsbet
42,9,Damien Cook,26,Sportsbet
43,10,David Klemmer,81,Sportsbet
44,11,Luciano Leilua,23,Sportsbet
45,12,Jaydn Su'A,14,Sportsbet
46,13,Jack de Belin,67,Sportsbet
47,14,Jacob Liddle,31,Sportsbet
48,15,Blake Lawrie,101,Sportsbet
49,16,Hamish Stewart,101,Sportsbet
50,17,Dylan Egan,91,Sportsbet
51,1,Jaylan De Groot,12.5,Sportsbet
52,2,Tony Francis,5.9,Sportsbet
53,3,Brian Kelly,14,Sportsbet
54,4,Phillip Sami,5.9,Sportsbet
55,5,Sosefo Fifita,6.75,Sportsbet
56,6,Alexander Brimson,11,Sportsbet
57,7,Jayden Campbell,13,Sportsbet
58,8,Moeaki Fotuaika,101,Sportsbet
59,9,Sam Verrills,71,Sportsbet
60,10,Reagan Campbell-Gillard,101,Sportsbet
61,11,Klese Haas,41,Sportsbet
62,12,Beau Fermor,21,Sportsbet
63,13,Chris Randall,67,Sportsbet
64,14,Arama Hau,101,Sportsbet
65,15,David Fifita,17,Sportsbet
66,16,Jaimin Jolliffe,81,Sportsbet
67,17,Brock Gray,101,Sportsbet
68,1,Reece Walsh,3.5,Sportsbet
69,2,Selwyn Cobbo,3.2,Sportsbet
70,3,Kotoni Staggs,6,Sportsbet
71,4,Gehamat Shibasaki,6.75,Sportsbet
72,5,Jesse Arthars,2.6,Sportsbet
73,6,Ben Hunt,23,Sportsbet
74,7,Adam Reynolds,23,Sportsbet
75,8,Patrick Carrigan,101,Sportsbet
76,9,Cory Paix,21,Sportsbet
77,10,Payne Haas,26,Sportsbet
78,11,Jack Gosiewski,21,Sportsbet
79,12,Jaiyden Hunt,29,Sportsbet
80,13,Kobe Hetherington,101,Sportsbet
81,14,Billy Walters,34,Sportsbet
82,15,Corey Jensen,91,Sportsbet
83,16,Xavier Willison,21,Sportsbet
84,17,Martin Taupau,61,Sportsbet
